Date,Close,High,Low,Open,Volume,EMA_Short,EMA_Long,Signal,Signal_Type
2023-05-01,41.54175567626953,41.81667916469106,41.13411150140105,41.22891457483993,4516200,41.54175567626953,41.54175567626953,0,Hold
2023-05-02,42.43287658691406,43.2766075419662,41.598631362352826,42.66987881087583,6777900,41.626624334426154,41.576701594334025,1,Buy
2023-05-03,42.81208419799805,43.37140962525161,42.47080039609863,42.70780263448799,5124900,41.73952527381395,41.6251479709483,0,Hold
2023-05-04,41.88303756713867,42.80260744686363,41.797716613181024,42.68884376400856,3549600,41.753193111273454,41.63526128844596,0,Hold
2023-05-05,43.03012466430664,43.41880818014104,42.29067885768683,42.41392103091248,3699600,41.87480564013376,41.689961812989516,0,Hold
2023-05-08,43.62736892700195,43.78852870013795,42.82155921222133,43.15336448878989,3888000,42.0417164293593,41.76593856255863,0,Hold
2023-05-09,43.589454650878906,43.81697840868264,42.916369109276026,43.69373622252364,3220600,42.18912006950402,41.83744899739472,0,Hold
2023-05-10,43.44725036621094,44.13929644108737,43.08700596546464,44.0065721550683,3062200,42.30894200252373,41.9005784628385,0,Hold
2023-05-11,42.37600326538086,43.33349076964966,42.167440126951725,43.2481698145075,3737500,42.315328789462505,41.91922257274213,0,Hold
2023-05-12,42.43287658691406,42.47079781067601,41.89251180559058,42.39495897951905,2397200,42.32652381779123,41.93936586741554,0,Hold
2023-05-15,42.59403991699219,42.6604002502944,42.138996081619744,42.47079774813081,2996400,42.35200154152465,41.9650393595558,0,Hold
2023-05-16,43.02064895629883,43.73165569842723,42.35704194037219,42.50872323403822,3910100,42.415682247693624,42.00643581433004,0,Hold
2023-05-17,43.46620941162109,43.76957198980602,42.88792698320852,43.41880968684855,2404600,42.51573245378196,42.063681837753215,0,Hold
2023-05-18,44.67018127441406,44.85030529165922,43.27661055947998,43.39037062233094,3923300,42.72091805574692,42.165897501935994,0,Hold
2023-05-19,45.267425537109375,45.6845481563969,44.89770264013704,44.89770264013704,5111000,42.963442577781436,42.287526052334954,0,Hold
2023-05-22,45.06835174560547,45.44755320117556,43.95917926082672,44.31942371753074,3805600,43.1639101175742,42.396578040306345,0,Hold
2023-05-23,43.94021224975586,45.12522340661408,43.9307337517025,44.87874267718907,4141100,43.237843653972455,42.45711271518672,0,Hold
2023-05-24,43.52308654785156,43.66528932316927,42.8974008459139,43.66528932316927,3230700,43.2650096438657,42.49891561058534,0,Hold
2023-05-25,45.58027267456055,45.80779280050326,44.13929861691032,44.36681874285304,4081700,43.48551088488426,42.619753142505935,0,Hold
2023-05-26,45.987911224365234,46.02583244918103,45.01146319174424,45.646631050124185,4296700,43.72383472673959,42.75183777316708,0,Hold
2023-05-30,44.85978698730469,46.54724190260246,44.71758418633057,46.25336141792822,5464400,43.83202065631722,42.834502448231305,0,Hold
2023-05-31,42.48027801513672,43.76956701778168,42.13899424935517,43.58944663755998,9937400,43.703283261919076,42.8206112939923,0,Hold
2023-06-01,43.09648513793945,45.03042422522456,42.385478439646434,42.66988039569023,14458300,43.64549296439721,42.831429876107876,0,Hold
2023-06-02,44.8123893737793,45.3527542567926,43.01117068615654,43.13441287839202,7914700,43.75662595576693,42.90911456229107,0,Hold
